name	taxonomy_id	taxonomy_lvl	sample_Neg_num	sample_Neg_frac	sample_No-Tube-1_num	sample_No-Tube-1_frac	sample_No-Tube-2_num	sample_No-Tube-2_frac	sample_Pos_num	sample_Pos_frac
Enterococcus faecalis	1351	S	47	0.00029	5364155	0.13153	0	0.00000	15771544	0.16944
Enterococcus faecium	1352	S	22	0.00014	10134	0.00025	0	0.00000	17204	0.00018
Tetragenococcus halophilus	51669	S	12	0.00007	327	0.00001	0	0.00000	847	0.00001
Leuconostoc mesenteroides	1245	S	10	0.00006	72	0.00000	0	0.00000	120	0.00000
Weissella cibaria	137591	S	24	0.00015	44	0.00000	0	0.00000	67	0.00000
Dolosigranulum pigrum	29394	S	26	0.00016	32	0.00000	29	0.00074	344	0.00000
Aerococcus urinaeequi	51665	S	11	0.00007	27	0.00000	0	0.00000	50	0.00000
Clostridium botulinum	1491	S	49	0.00030	436	0.00001	0	0.00000	1150	0.00001
Clostridium tetani	1513	S	18	0.00011	0	0.00000	0	0.00000	22	0.00000
Clostridium perfringens	1502	S	10	0.00006	107	0.00000	0	0.00000	215	0.00000
Veillonella parvula	29466	S	52	0.00032	114	0.00000	51	0.00130	129	0.00000
Selenomonas sp. oral taxon 126	712528	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Selenomonas sputigena	69823	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Finegoldia magna	1260	S	35	0.00022	46	0.00000	44	0.00112	83	0.00000
Parvimonas micra	33033	S	20	0.00012	17	0.00000	0	0.00000	24	0.00000
Anaerococcus prevotii	33034	S	13	0.00008	0	0.00000	0	0.00000	19	0.00000
Peptoniphilus harei	54005	S	14	0.00009	20	0.00000	11	0.00028	44	0.00000
Cutibacterium acnes	1747	S	11667	0.07246	18241	0.00045	4715	0.12008	30957	0.00033
Cutibacterium granulosum	33011	S	248	0.00154	197	0.00000	132	0.00336	410	0.00000
Cutibacterium avidum	33010	S	24	0.00015	29	0.00000	20	0.00051	88	0.00000
Pseudopropionibacterium propionicum	1750	S	18	0.00011	12	0.00000	0	0.00000	50	0.00000
Auraticoccus monumenti	675864	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Nocardioides sp. zg-579	2663857	S	37	0.00023	0	0.00000	0	0.00000	10	0.00000
Nocardioides sp. S-1144	2582905	S	26	0.00016	13	0.00000	0	0.00000	40	0.00000
Nocardioides sp. R-3366	2712223	S	24	0.00015	0	0.00000	0	0.00000	11	0.00000
Nocardioides sp. CF8	110319	S	21	0.00013	0	0.00000	0	0.00000	12	0.00000
Nocardioides sp. JS614	196162	S	20	0.00012	0	0.00000	0	0.00000	0	0.00000
Nocardioides sp. 603	2483798	S	19	0.00012	0	0.00000	0	0.00000	0	0.00000
Nocardioides sp. dk884	2662361	S	18	0.00011	0	0.00000	0	0.00000	0	0.00000
Nocardioides sp. HDW12B	2714939	S	18	0.00011	0	0.00000	0	0.00000	10	0.00000
Nocardioides sp. JQ2195	2592334	S	14	0.00009	0	0.00000	0	0.00000	14	0.00000
Nocardioides sp. 78	2045452	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Nocardioides sp. SB3-45	2558918	S	11	0.00007	0	0.00000	0	0.00000	10	0.00000
Nocardioides sp. KUDC 5002	2589074	S	11	0.00007	0	0.00000	0	0.00000	0	0.00000
Nocardioides sp. HDW12A	2714938	S	11	0.00007	0	0.00000	0	0.00000	0	0.00000
Nocardioides dokdonensis	450734	S	47	0.00029	0	0.00000	0	0.00000	13	0.00000
Nocardioides seonyuensis	2518371	S	23	0.00014	0	0.00000	0	0.00000	0	0.00000
Nocardioides euryhalodurans	2518370	S	21	0.00013	0	0.00000	0	0.00000	0	0.00000
Nocardioides humi	449461	S	19	0.00012	0	0.00000	0	0.00000	13	0.00000
Aeromicrobium sp. 592	2079793	S	14	0.00009	0	0.00000	0	0.00000	13	0.00000
Aeromicrobium choanae	1736691	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Aeromicrobium erythreum	2041	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Friedmanniella sagamiharensis	546874	S	16	0.00010	0	0.00000	17	0.00043	25	0.00000
Friedmanniella luteola	546871	S	13	0.00008	0	0.00000	16	0.00041	15	0.00000
Marmoricola scoriae	642780	S	22	0.00014	0	0.00000	0	0.00000	11	0.00000
Pimelobacter simplex	2045	S	12	0.00007	0	0.00000	0	0.00000	10	0.00000
Mycolicibacterium phocaicum	319706	S	1421	0.00883	14	0.00000	94	0.00239	47	0.00000
Mycolicibacterium aubagnense	319707	S	172	0.00107	0	0.00000	0	0.00000	0	0.00000
Mycolicibacterium doricum	126673	S	21	0.00013	0	0.00000	0	0.00000	0	0.00000
Mycolicibacterium chubuense	1800	S	18	0.00011	0	0.00000	0	0.00000	0	0.00000
Mycolicibacterium aurum	1791	S	17	0.00011	0	0.00000	0	0.00000	12	0.00000
Mycolicibacterium frederiksbergense	117567	S	14	0.00009	0	0.00000	0	0.00000	0	0.00000
Mycolicibacterium sediminis	1286180	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Mycolicibacterium mageritense	53462	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Mycobacterium avium	1764	S	31	0.00019	0	0.00000	0	0.00000	11	0.00000
Mycobacterium chimaera	222805	S	15	0.00009	111	0.00000	0	0.00000	271	0.00000
Mycobacterium sp. YC-RL4	1682113	S	11	0.00007	0	0.00000	0	0.00000	0	0.00000
Mycobacterium paragordonae	1389713	S	43	0.00027	0	0.00000	0	0.00000	0	0.00000
Mycobacterium grossiae	1552759	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Mycobacteroides abscessus	36809	S	20	0.00012	0	0.00000	0	0.00000	0	0.00000
Corynebacterium kroppenstedtii	161879	S	223	0.00138	38	0.00000	21	0.00053	344	0.00000
Corynebacterium segmentosum	43990	S	147	0.00091	112	0.00000	181	0.00461	332	0.00000
Corynebacterium sanguinis	2594913	S	112	0.00070	0	0.00000	0	0.00000	189	0.00000
Corynebacterium singulare	161899	S	95	0.00059	18	0.00000	0	0.00000	55	0.00000
Corynebacterium sp. ATCC 6931	1487956	S	26	0.00016	19	0.00000	0	0.00000	15	0.00000
Corynebacterium sp. NML98-0116	702967	S	19	0.00012	0	0.00000	0	0.00000	21	0.00000
Corynebacterium sp. 2184	2079535	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Corynebacterium ureicelerivorans	401472	S	66	0.00041	82	0.00000	20	0.00051	110	0.00000
Corynebacterium matruchotii	43768	S	49	0.00030	39	0.00000	19	0.00048	102	0.00000
Corynebacterium genitalium	38288	S	37	0.00023	0	0.00000	0	0.00000	55	0.00000
Corynebacterium aurimucosum	169292	S	33	0.00020	56	0.00000	18	0.00046	46	0.00000
Corynebacterium jeikeium	38289	S	32	0.00020	19	0.00000	10	0.00025	48	0.00000
Corynebacterium imitans	156978	S	31	0.00019	11	0.00000	0	0.00000	36	0.00000
Corynebacterium minutissimum	38301	S	29	0.00018	15	0.00000	23	0.00059	45	0.00000
Corynebacterium simulans	146827	S	28	0.00017	20	0.00000	28	0.00071	50	0.00000
Corynebacterium striatum	43770	S	24	0.00015	13	0.00000	22	0.00056	42	0.00000
Corynebacterium glaucum	187491	S	18	0.00011	0	0.00000	0	0.00000	10	0.00000
Corynebacterium xerosis	1725	S	18	0.00011	0	0.00000	0	0.00000	14	0.00000
Corynebacterium halotolerans	225326	S	15	0.00009	0	0.00000	0	0.00000	0	0.00000
Corynebacterium marinum	349751	S	15	0.00009	0	0.00000	0	0.00000	0	0.00000
Corynebacterium riegelii	156976	S	12	0.00007	0	0.00000	0	0.00000	44	0.00000
Corynebacterium urealyticum	43771	S	12	0.00007	0	0.00000	0	0.00000	38	0.00000
Corynebacterium mycetoides	38302	S	11	0.00007	0	0.00000	0	0.00000	12	0.00000
Corynebacterium humireducens	1223514	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Rhodococcus sp. PBTS 2	1653479	S	14	0.00009	0	0.00000	0	0.00000	24	0.00000
Rhodococcus fascians	1828	S	36	0.00022	0	0.00000	0	0.00000	61	0.00000
Rhodococcus opacus	37919	S	13	0.00008	0	0.00000	0	0.00000	0	0.00000
Nocardia terpenica	455432	S	15	0.00009	0	0.00000	0	0.00000	0	0.00000
Nocardia farcinica	37329	S	14	0.00009	0	0.00000	0	0.00000	0	0.00000
Nocardia brasiliensis	37326	S	11	0.00007	0	0.00000	0	0.00000	13	0.00000
Nocardia cyriacigeorgica	135487	S	11	0.00007	0	0.00000	0	0.00000	14	0.00000
Gordonia polyisoprenivorans	84595	S	118	0.00073	0	0.00000	0	0.00000	12	0.00000
Gordonia bronchialis	2054	S	61	0.00038	0	0.00000	0	0.00000	109	0.00000
Gordonia terrae	2055	S	21	0.00013	0	0.00000	0	0.00000	34	0.00000
Gordonia insulae	2420509	S	14	0.00009	0	0.00000	0	0.00000	0	0.00000
Gordonia iterans	1004901	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Dietzia sp. oral taxon 368	712270	S	51	0.00032	0	0.00000	0	0.00000	305	0.00000
Dietzia psychralcaliphila	139021	S	16	0.00010	0	0.00000	0	0.00000	32	0.00000
Dietzia lutea	546160	S	16	0.00010	0	0.00000	0	0.00000	84	0.00000
Lawsonella clevelandensis	1528099	S	24	0.00015	30	0.00000	0	0.00000	81	0.00000
Micrococcus luteus	1270	S	532	0.00330	60	0.00000	39	0.00099	2140	0.00002
Micrococcus sp. KBS0714	1179670	S	22	0.00014	0	0.00000	0	0.00000	95	0.00000
Micrococcus sp. A1	404583	S	10	0.00006	0	0.00000	0	0.00000	35	0.00000
Kocuria palustris	71999	S	100	0.00062	28	0.00000	0	0.00000	164	0.00000
Kocuria rosea	1275	S	85	0.00053	0	0.00000	94	0.00239	29	0.00000
Kocuria sp. KD4	2719588	S	31	0.00019	0	0.00000	0	0.00000	68	0.00000
Kocuria indica	1049583	S	27	0.00017	0	0.00000	0	0.00000	78	0.00000
Kocuria turfanensis	388357	S	18	0.00011	0	0.00000	0	0.00000	14	0.00000
Kocuria flava	446860	S	11	0.00007	0	0.00000	0	0.00000	12	0.00000
Rothia mucilaginosa	43675	S	103	0.00064	70	0.00000	36	0.00092	239	0.00000
Rothia dentocariosa	2047	S	42	0.00026	57	0.00000	42	0.00107	142	0.00000
Rothia aeria	172042	S	23	0.00014	67	0.00000	0	0.00000	68	0.00000
Microbacterium sp. PM5	2014534	S	14	0.00009	0	0.00000	0	0.00000	0	0.00000
Microbacterium sp. BH-3-3-3	1906742	S	11	0.00007	0	0.00000	0	0.00000	15	0.00000
Microbacterium sp. 10M-3C3	2483401	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Microbacterium aurum	36805	S	28	0.00017	0	0.00000	0	0.00000	47	0.00000
Microbacterium foliorum	104336	S	21	0.00013	0	0.00000	0	0.00000	11	0.00000
Microbacterium hominis	162426	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Microbacterium oxydans	82380	S	10	0.00006	0	0.00000	0	0.00000	28	0.00000
Microbacterium chocolatum	84292	S	10	0.00006	0	0.00000	0	0.00000	13	0.00000
Microbacterium lemovicicum	1072463	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Leifsonia sp. PS1209	2724914	S	24	0.00015	0	0.00000	0	0.00000	0	0.00000
Leifsonia xyli	1575	S	29	0.00018	0	0.00000	0	0.00000	0	0.00000
Rathayibacter sp. VKM Ac-2759	2609252	S	11	0.00007	0	0.00000	0	0.00000	0	0.00000
Clavibacter michiganensis	28447	S	27	0.00017	0	0.00000	0	0.00000	10	0.00000
Agrococcus carbonis	684552	S	13	0.00008	0	0.00000	0	0.00000	0	0.00000
Microterricola viridarii	412690	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Janibacter indicus	857417	S	36	0.00022	0	0.00000	0	0.00000	102	0.00000
Janibacter melonis	262209	S	19	0.00012	0	0.00000	24	0.00061	23	0.00000
Janibacter limosus	53458	S	12	0.00007	0	0.00000	0	0.00000	17	0.00000
Serinicoccus profundi	1078471	S	34	0.00021	0	0.00000	0	0.00000	10	0.00000
Serinicoccus sp. W204	2593973	S	13	0.00008	0	0.00000	0	0.00000	0	0.00000
Phycicoccus sp. HDW14	2714941	S	20	0.00012	0	0.00000	0	0.00000	0	0.00000
Brachybacterium ginsengisoli	1331682	S	33	0.00020	0	0.00000	0	0.00000	41	0.00000
Brachybacterium sp. P6-10-X1	1903186	S	13	0.00008	0	0.00000	0	0.00000	27	0.00000
Brachybacterium sp. SGAir0954	2571029	S	13	0.00008	0	0.00000	0	0.00000	27	0.00000
Brachybacterium saurashtrense	556288	S	26	0.00016	0	0.00000	0	0.00000	56	0.00000
Brachybacterium faecium	43669	S	19	0.00012	0	0.00000	0	0.00000	34	0.00000
Brachybacterium vulturis	2017484	S	14	0.00009	0	0.00000	0	0.00000	19	0.00000
Brachybacterium avium	2017485	S	10	0.00006	0	0.00000	0	0.00000	15	0.00000
Kytococcus sedentarius	1276	S	93	0.00058	0	0.00000	0	0.00000	83	0.00000
Brevibacterium sp. CS2	2575923	S	27	0.00017	0	0.00000	0	0.00000	73	0.00000
Brevibacterium linens	1703	S	14	0.00009	0	0.00000	0	0.00000	0	0.00000
Brevibacterium aurantiacum	273384	S	13	0.00008	0	0.00000	0	0.00000	0	0.00000
Cellulomonas sp. Y8	2591145	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Cellulomonas fimi	1708	S	11	0.00007	0	0.00000	0	0.00000	0	0.00000
Oerskovia sp. KBS0722	1179673	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Xylanimicrobium sp. FW10M-9	2509457	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Beutenbergia cavernae	84757	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Sanguibacter keddieii	60920	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Streptomyces sp. ICC1	2099583	S	63	0.00039	2999643	0.07355	0	0.00000	6445715	0.06925
Streptomyces sp. ICC4	2099584	S	54	0.00034	671	0.00002	0	0.00000	1167	0.00001
Streptomyces sp. NHF165	2175864	S	13	0.00008	0	0.00000	0	0.00000	0	0.00000
Streptomyces venezuelae	54571	S	26	0.00016	13	0.00000	0	0.00000	31	0.00000
Streptomyces albus	1888	S	17	0.00011	0	0.00000	0	0.00000	0	0.00000
Streptomyces chartreusis	1969	S	13	0.00008	0	0.00000	0	0.00000	0	0.00000
Streptomyces rimosus	1927	S	13	0.00008	0	0.00000	0	0.00000	0	0.00000
Streptomyces griseorubiginosus	67304	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Streptomyces gilvosporeus	553510	S	11	0.00007	0	0.00000	0	0.00000	0	0.00000
Streptomyces tsukubensis	83656	S	10	0.00006	0	0.00000	0	0.00000	19	0.00000
Kitasatospora sp. MMS16-BH015	2018025	S	16	0.00010	0	0.00000	0	0.00000	11	0.00000
Actinomyces sp. oral taxon 414	712122	S	62	0.00039	23	0.00000	14	0.00036	99	0.00000
Actinomyces sp. oral taxon 171	706438	S	42	0.00026	47	0.00000	28	0.00071	133	0.00000
Actinomyces sp. oral taxon 897	2081702	S	17	0.00011	22	0.00000	0	0.00000	44	0.00000
Actinomyces oris	544580	S	33	0.00020	38	0.00000	25	0.00064	126	0.00000
Actinomyces naeslundii	1655	S	28	0.00017	38	0.00000	10	0.00025	93	0.00000
Actinomyces viscosus	1656	S	19	0.00012	31	0.00000	11	0.00028	106	0.00000
Schaalia odontolytica	1660	S	38	0.00024	76	0.00000	17	0.00043	100	0.00000
Pseudonocardia sp. AL041005-10	445576	S	17	0.00011	0	0.00000	0	0.00000	26	0.00000
Pseudonocardia sp. Gen01	2736640	S	14	0.00009	0	0.00000	0	0.00000	14	0.00000
Pseudonocardia sp. HH130630-07	1690815	S	11	0.00007	0	0.00000	0	0.00000	14	0.00000
Saccharopolyspora erythraea	1836	S	11	0.00007	0	0.00000	0	0.00000	0	0.00000
Saccharothrix espanaensis	103731	S	11	0.00007	0	0.00000	0	0.00000	0	0.00000
Lentzea guizhouensis	1586287	S	13	0.00008	0	0.00000	0	0.00000	0	0.00000
Actinoplanes sp. OR16	946334	S	13	0.00008	0	0.00000	0	0.00000	0	0.00000
Actinoplanes sp. N902-109	649831	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Actinoplanes teichomyceticus	1867	S	16	0.00010	0	0.00000	0	0.00000	0	0.00000
Actinoplanes missouriensis	1866	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Geodermatophilus obscurus	1861	S	126	0.00078	10	0.00000	26	0.00066	11	0.00000
Blastococcus saxobsidens	138336	S	44	0.00027	0	0.00000	17	0.00043	13	0.00000
Modestobacter marinus	477641	S	38	0.00024	13	0.00000	54	0.00138	20	0.00000
Nonomuraea sp. ATCC 55076	1909395	S	12	0.00007	0	0.00000	0	0.00000	14	0.00000
Actinomadura amylolytica	1411117	S	11	0.00007	0	0.00000	0	0.00000	0	0.00000
Nocardiopsis dassonvillei	2014	S	14	0.00009	0	0.00000	0	0.00000	11	0.00000
Candidatus Nanopelagicus abundans	1884916	S	24	0.00015	0	0.00000	0	0.00000	0	0.00000
Candidatus Nanopelagicus limnes	1884634	S	11	0.00007	0	0.00000	0	0.00000	0	0.00000
Gardnerella vaginalis	2702	S	20	0.00012	23	0.00000	0	0.00000	61	0.00000
Nakamurella multipartita	53461	S	31	0.00019	0	0.00000	0	0.00000	17	0.00000
Jiangella sp. DSM 45060	1798224	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Kineococcus radiotolerans	131568	S	14	0.00009	0	0.00000	0	0.00000	10	0.00000
Rubrobacter xylanophilus	49319	S	5373	0.03337	60	0.00000	264	0.00672	111	0.00000
Rubrobacter sp. SCSIO 52915	2653852	S	49	0.00030	0	0.00000	0	0.00000	0	0.00000
Rubrobacter sp. SCSIO 52909	2653851	S	44	0.00027	0	0.00000	0	0.00000	0	0.00000
Rubrobacter radiotolerans	42256	S	19	0.00012	0	0.00000	0	0.00000	0	0.00000
Rubrobacter indicoceani	2051957	S	16	0.00010	0	0.00000	0	0.00000	0	0.00000
Baekduia soli	496014	S	10	0.00006	0	0.00000	0	0.00000	0	0.00000
Olsenella sp. oral taxon 807	712411	S	13	0.00008	10	0.00000	0	0.00000	0	0.00000
Conexibacter woesei	191495	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Microcystis aeruginosa	1126	S	90	0.00056	0	0.00000	0	0.00000	0	0.00000
Microcystis panniformis	513223	S	16	0.00010	0	0.00000	0	0.00000	0	0.00000
Microcystis sp. MC19	1967666	S	15	0.00009	0	0.00000	0	0.00000	0	0.00000
Anabaena sp. YBS01	2490939	S	64	0.00040	382	0.00001	0	0.00000	797	0.00001
Thermus thermophilus	274	S	60	0.00037	0	0.00000	0	0.00000	0	0.00000
Thermus scotoductus	37636	S	38	0.00024	0	0.00000	0	0.00000	0	0.00000
Thermus parvatiensis	456163	S	12	0.00007	0	0.00000	0	0.00000	0	0.00000
Meiothermus silvanus	52022	S	32	0.00020	0	0.00000	0	0.00000	0	0.00000
Deinococcus wulumuqiensis	980427	S	17	0.00011	0	0.00000	0	0.00000	15	0.00000
Deinococcus ficus	317577	S	17	0.00011	0	0.00000	0	0.00000	0	0.00000
Aquabacterium olei	1296669	S	3842	0.02386	51	0.00000	131	0.00334	61	0.00000
Mitsuaria sp. 7	1658665	S	61	0.00038	0	0.00000	0	0.00000	0	0.00000
Methylibium petroleiphilum	105560	S	27	0.00017	0	0.00000	0	0.00000	0	0.00000
Methylibium sp. Pch-M	2082386	S	13	0.00008	0	0.00000	0	0.00000	0	0.00000
Roseateles depolymerans	76731	S	57	0.00035	0	0.00000	0	0.00000	0	0.00000
Leptothrix cholodnii	34029	S	51	0.00032	0	0.00000	0	0.00000	0	0.00000
Paucibacter sp. KCTC 42545	1768242	S	51	0.00032	0	0.00000	0	0.00000	0	0.00000
Thiomonas sp. X19	1050370	S	16	0.00010	0	0.00000	0	0.00000	0	0.00000
Thiomonas intermedia	926	S	18	0.00011	0	0.00000	0	0.00000	0	0.00000
Sphaerotilus natans	34103	S	45	0.00028	13	0.00000	0	0.00000	14	0.00000
Rubrivivax gelatinosus	28068	S	44	0.00027	13	0.00000	0	0.00000	12	0.00000
Rhizobacter gummiphilus	946333	S	36	0.00022	0	0.00000	0	0.00000	15	0.00000
Inhella inkyongensis	392593	S	30	0.00019	0	0.00000	0	0.00000	0	0.00000
Xylophilus sp. KACC 21265	2697032	S	29	0.00018	0	0.00000	0	0.00000	0	0.00000
Acidovorax sp. 1608163	2478662	S	194	0.00120	0	0.00000	0	0.00000	0	0.00000
Acidovorax sp. T1	1858609	S	162	0.00101	11	0.00000	10	0.00025	12	0.00000
Acidovorax sp. KKS102	358220	S	147	0.00091	21	0.00000	13	0.00033	42	0.00000
Acidovorax sp. RAC01	1842533	S	77	0.00048	0	0.00000	0	0.00000	0	0.00000
Acidovorax sp. HDW3	2714923	S	28	0.00017	51	0.00000	0	0.00000	94	0.00000
Acidovorax sp. JS42	232721	S	11	0.00007	25	0.00000	0	0.00000	31	0.00000
Acidovorax carolinensis	553814	S	72	0.00045	77	0.00000	0	0.00000	141	0.00000
Acidovorax avenae	80867	S	38	0.00024	21	0.00000	0	0.00000	24	0.00000
Acidovorax ebreus	721785	S	32	0.00020	38	0.00000	0	0.00000	44	0.00000
Acidovorax citrulli	80869	S	12	0.00007	0	0.00000	0	0.00000	14	0.00000
Acidovorax cattleyae	80868	S	10	0.00006	48	0.00000	0	0.00000	128	0.00000
Variovorax sp. HW608	1034889	S	28	0.00017	0	0.00000	0	0.00000	13	0.00000
Variovorax sp. PBL-H6	434009	S	19	0.00012	0	0.00000	0	0.00000	14	0.00000
Variovorax sp. PMC12	2126319	S	18	0.00011	0	0.00000	0	0.00000	0	0.00000
Variovorax sp. RA8	662548	S	17	0.00011	0	0.00000	0	0.00000	0	0.00000
Variovorax sp. PBS-H4	434008	S	16	0.00010	0	0.00000	0	0.00000	18	0.00000
Variovorax sp. PAMC 28711	1795631	S	15	0.00009	0	0.00000	0	0.00000	0	0.00000
Variovorax sp. WDL1	207745	S	14	0.00009	26	0.00000	0	0.00000	51	0.00000
Variovorax paradoxus	34073	S	97	0.00060	15	0.00000	0	0.00000	43	0.00000
Variovorax boronicumulans	436515	S	26	0.00016	0	0.00000	0	0.00000	0	0.00000
Hydrogenophaga sp. PBC	795665	S	38	0.00024	19	0.00000	0	0.00000	35	0.00000
Hydrogenophaga sp. NH-16	2184519	S	38	0.00024	30	0.00000	0	0.00000	40	0.00000
Hydrogenophaga sp. BA0156	2716225	S	35	0.00022	0	0.00000	0	0.00000	0	0.00000
Hydrogenophaga sp. BPS33	2651974	S	33	0.00020	0	0.00000	0	0.00000	0	0.00000
Hydrogenophaga sp. PBL-H3	434010	S	26	0.00016	10	0.00000	0	0.00000	20	0.00000
Hydrogenophaga sp. RAC07	1842537	S	20	0.00012	0	0.00000	0	0.00000	0	0.00000
Hydrogenophaga sp. PAMC20947	2565558	S	14	0.00009	0	0.00000	0	0.00000	0	0.00000
Hydrogenophaga pseudoflava	47421	S	15	0.00009	0	0.00000	0	0.00000	0	0.00000
Hydrogenophaga crassostreae	1763535	S	14	0.00009	24	0.00000	0	0.00000	31	0.00000
Comamonas aquatica	225991	S	62	0.00039	0	0.00000	0	0.00000	0	0.00000
Comamonas testosteroni	285	S	47	0.00029	101	0.00000	0	0.00000	156	0.00000
Comamonas sp. NLF-7-7	2597701	S	21	0.00013	75	0.00000	0	0.00000	100	0.00000
Comamonas serinivorans	1082851	S	20	0.00012	26	0.00000	0	0.00000	51	0.00000
Comamonas kerstersii	225992	S	13	0.00008	10	0.00000	0	0.00000	19	0.00000
